Source,X,Y,Z,Nanoseconds=
6939,0.312,-0.424,-0.429,5280846658
6939,0.424,-0.732,-0.294,5280857392
6939,0.393,-0.519,-0.391,5280865563
6939,0.353,-0.603,-0.213,5280873780
6939,0.401,-0.863,-0.055,5280882014
6939,0.574,-1.069,-0.103,5280891414
6939,0.546,-1.161,0.021,5280900629
6939,0.497,-1.069,0.103,5280909312
6939,0.306,-0.786,0.105,5280917546
6939,0.19,-0.617,0.169,5280926226
6939,0.151,-0.463,0.164,5280934661
6939,0.284,-0.61,-0.117,5280942747
6939,0.277,-0.676,-0.036,5280951206
6939,0.278,-0.73,0.045,5280994160
6939,0.205,-0.584,0.069,5281003183
6939,0.115,-0.44,0.063,5281011534
6939,0.29,-0.365,-0.445,5281020105
6939,0.287,-0.47,-0.294,5281028498
6939,0.315,-0.307,-0.434,5281036695
6939,0.52,-0.54,-0.561,5281045013
6939,0.319,-0.37,-0.388,5281053219
6939,0.409,-0.396,-0.468,5281061351
6939,0.36,-0.482,-0.292,5281069433
6939,0.365,-0.579,-0.168,5281077603
6939,0.408,-0.603,-0.286,5281085744
6939,0.386,-0.397,-0.428,5281093818
6939,0.4,-0.692,-0.26,5281101958
6939,0.272,-0.558,-0.12,5281110413
6939,0.16,-0.453,-0.059,5281118882
6939,0.167,-0.264,-0.25,5281127165
6939,0.103,-0.429,-0.118,5281135224
6939,0.097,-0.532,-0.02,5281143797
6939,0.178,-0.374,-0.21,5281152387
6939,0.157,-0.364,-0.068,5281160549
6939,0.283,-0.729,0.016,5281168966
6939,0.195,-0.59,0.072,5281177232
6939,0.214,-0.717,0.147,5281185675
6939,0.308,-0.95,0.275,5281193745
6939,0.311,-0.924,0.32,5281202055
6939,0.326,-0.943,0.35,5281210305
6939,0.344,-0.721,0.012,5281218522
6939,0.262,-0.562,0.092,5281226709
6939,0.118,-0.582,0.099,5281235092
6939,0.055,-0.456,0.093,5281243509
6939,0.146,-0.587,0.145,5281251741
6939,0.057,-0.425,0.118,5281259785
6939,0.112,-0.554,0.135,5281268259
6939,0.233,-0.59,-0.102,5281276371
6939,0.322,-0.869,0.012,5281284470
6939,0.485,-1.005,-0.127,5281293098
6939,0.371,-0.739,-0.063,5281301227
6939,0.33,-0.493,-0.292,5281309385
6939,0.228,-0.382,-0.17,5281317412
6939,0.13,-0.29,-0.087,5281325613
6939,0.046,-0.221,0.004,5281334202
6939,0.114,-0.403,0.039,5281342885
6939,0.143,-0.53,0.087,5281351302
6939,0.168,-0.376,-0.1,5281359688
6939,0.202,-0.232,-0.307,5281368094
6939,0.128,-0.166,-0.213,5281376152
6939,0.251,-0.539,-0.147,5281384227
6939,0.293,-0.636,-0.069,5281392283
6939,0.355,-0.867,0.02,5281400623
6939,0.45,-0.86,-0.095,5281408812
6939,0.409,-0.825,0.019,5281417245
6939,0.387,-0.83,0.124,5281425516
6939,0.301,-0.656,0.113,5281434109
6939,0.317,-0.419,-0.189,5281454085
6939,0.311,-0.195,-0.416,5281467701
6939,0.443,-0.368,-0.569,5281480431
6939,0.51,-0.698,-0.388,5281488996
6939,0.508,-0.876,-0.237,5281545413
6939,0.525,-0.778,-0.341,5281554893
